MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
477.79,625.25,345.6,853.36,852.37,15.62,343,1737379119381314745
477.79,625.25,345.6,853.37,852.37,15.62,344,1737379119891659987
477.79,625.25,345.62,853.37,852.37,15.63,345,1737379120401957740
477.79,625.26,345.6,853.37,852.37,15.64,346,1737379120912260767
477.79,625.25,345.61,853.37,852.37,15.63,347,1737379121422557271
477.79,625.25,345.62,853.36,852.37,15.62,348,1737379121932856083
477.79,625.25,345.61,853.37,852.37,15.63,349,1737379122443150918
477.79,625.25,345.61,853.37,852.37,15.62,350,1737379122953449740
477.79,625.25,345.61,853.36,852.37,15.62,351,1737379123463742922
477.79,625.25,345.62,853.36,852.37,15.63,352,1737379123974045731
477.79,625.25,345.6,853.36,852.37,15.63,353,1737379124484336531
477.8,625.25,345.61,853.36,852.38,15.63,354,1737379124995225368
477.79,625.25,345.59,853.36,852.37,15.63,355,1737379125505514968
477.79,625.24,345.61,853.36,852.37,15.63,356,1737379126015810976
477.8,625.24,345.61,853.37,852.37,15.63,357,1737379126526139115
477.79,625.24,345.6,853.37,852.37,15.63,358,1737379127036469903
477.79,625.25,345.6,853.37,852.37,15.62,359,1737379127546764414
477.79,625.25,345.6,853.37,852.37,15.62,360,1737379128057059109
477.79,625.25,345.6,853.37,852.37,15.63,361,1737379128567361882
477.79,625.25,345.61,853.37,852.37,15.63,362,1737379129077652377
477.79,625.25,345.61,853.37,852.37,15.62,363,1737379129587943858
477.79,625.25,345.6,853.37,852.37,15.63,364,1737379130098246208
477.8,625.25,345.61,853.37,852.38,15.63,365,1737379130608546461
477.79,625.25,345.6,853.37,852.37,15.63,366,1737379131118845788
477.79,625.25,345.61,853.37,852.37,15.63,367,1737379131629137265
477.79,625.25,345.61,853.37,852.37,15.62,368,1737379132139441390
477.79,625.26,345.61,853.36,852.37,15.63,369,1737379132649731551
477.79,625.25,345.6,853.37,852.37,15.63,370,1737379133160043954
477.79,625.25,345.61,853.37,852.37,15.63,371,1737379133670350544
477.79,625.25,345.61,853.37,852.38,15.62,372,1737379134180647671
477.79,625.25,345.6,853.37,852.37,15.63,373,1737379134690926093
477.79,625.25,345.61,853.37,852.38,15.63,374,1737379135201230068
477.79,625.25,345.6,853.37,852.37,15.63,375,1737379135711518705
477.79,625.25,345.61,853.37,852.38,15.63,376,1737379136221812601
477.79,625.24,345.6,853.37,852.37,15.62,377,1737379136732107294
477.79,625.25,345.6,853.37,852.37,15.63,378,1737379137242396766
477.79,625.25,345.61,853.37,852.37,15.63,379,1737379137752678091
477.79,625.25,345.61,853.37,852.38,15.63,380,1737379138262976032
477.79,625.24,345.61,853.37,852.38,15.63,381,1737379138773261738
477.79,625.24,345.6,853.37,852.38,15.62,382,1737379139283557059
477.79,625.25,345.61,853.37,852.38,15.62,383,1737379139793852828
477.79,625.24,345.61,853.37,852.38,15.63,384,1737379140304152850
477.79,625.24,345.61,853.37,852.38,15.63,385,1737379140814458401
477.79,625.24,345.6,853.37,852.38,15.62,386,1737379141324789431
477.79,625.25,345.61,853.37,852.38,15.63,387,1737379141835108386
477.79,625.24,345.6,853.37,852.37,15.63,388,1737379142345420629
477.78,625.24,345.62,853.37,852.38,15.63,389,1737379142855754882
477.79,625.25,345.61,853.37,852.38,15.62,390,1737379143366054791
477.78,625.24,345.61,853.36,852.37,15.63,391,1737379143876356073
477.79,625.24,345.61,853.37,852.38,15.63,392,1737379144386656571
477.79,625.25,345.61,853.36,852.38,15.63,393,1737379144896946529
477.79,625.25,345.61,853.36,852.37,15.63,394,1737379145407254735
477.79,625.25,345.61,853.36,852.38,15.63,395,1737379145917544409
