MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
477.82,625.4,345.6,853.3,852.5,15.59,317,1737401834844525883
477.83,625.41,345.6,853.3,852.5,15.6,318,1737401835354850634
477.83,625.41,345.6,853.31,852.5,15.59,319,1737401835865156090
477.83,625.41,345.6,853.3,852.51,15.6,320,1737401836375442358
477.83,625.41,345.6,853.29,852.51,15.58,321,1737401836885742197
477.83,625.41,345.6,853.3,852.5,15.59,322,1737401837396045594
477.83,625.4,345.59,853.3,852.49,15.61,323,1737401837906351957
477.83,625.4,345.61,853.29,852.49,15.61,324,1737401838416645965
477.83,625.4,345.6,853.3,852.49,15.6,325,1737401838926940525
477.82,625.4,345.61,853.3,852.5,15.6,326,1737401839437231957
477.82,625.4,345.6,853.32,852.49,15.57,327,1737401839947531276
477.82,625.4,345.59,853.31,852.5,15.58,328,1737401840457846392
477.82,625.38,345.59,853.32,852.51,15.59,329,1737401840968152027
477.82,625.4,345.61,853.32,852.52,15.59,330,1737401841478453643
477.82,625.4,345.61,853.3,852.5,15.57,331,1737401841988749260
477.82,625.4,345.61,853.31,852.51,15.59,332,1737401842499501057
477.82,625.4,345.58,853.31,852.51,15.59,333,1737401843009816205
477.82,625.4,345.6,853.31,852.52,15.59,334,1737401843520120094
477.82,625.4,345.6,853.31,852.51,15.6,335,1737401844030410188
477.83,625.41,345.6,853.31,852.51,15.6,336,1737401844540693633
477.83,625.41,345.62,853.31,852.51,15.59,337,1737401845050981634
477.82,625.4,345.6,853.31,852.51,15.59,338,1737401845561275837
477.83,625.4,345.62,853.3,852.51,15.6,339,1737401846071567262
477.83,625.4,345.6,853.3,852.51,15.6,340,1737401846582036409
477.83,625.41,345.62,853.31,852.51,15.59,341,1737401847092538483
477.83,625.41,345.61,853.31,852.5,15.58,342,1737401847603017274
477.82,625.4,345.61,853.31,852.5,15.57,343,1737401848113315527
477.83,625.39,345.6,853.31,852.5,15.6,344,1737401848623792447
477.83,625.39,345.6,853.31,852.5,15.6,345,1737401849134302107
477.81,625.39,345.61,853.31,852.5,15.6,346,1737401849644783232
477.81,625.4,345.6,853.31,852.51,15.6,347,1737401850155269245
477.81,625.4,345.58,853.3,852.51,15.61,348,1737401850665768219
477.82,625.39,345.59,853.3,852.5,15.6,349,1737401851176321138
477.82,625.4,345.61,853.3,852.51,15.6,350,1737401851686800207
MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
477.81,625.45,345.62,853.33,852.56,15.58,1964,1737401913164043135
477.81,625.45,345.61,853.33,852.56,15.58,1965,1737401913201424336
477.81,625.44,345.62,853.33,852.56,15.59,1966,1737401913251602202
477.81,625.44,345.61,853.33,852.56,15.58,1967,1737401913290835120
477.81,625.45,345.61,853.33,852.56,15.58,1968,1737401913378840372
477.81,625.44,345.61,853.33,852.56,15.58,1969,1737401913417272515
477.81,625.44,345.61,853.33,852.56,15.58,1970,1737401913471328314
477.8,625.45,345.61,853.33,852.56,15.57,1971,1737401913510905898
477.8,625.45,345.62,853.33,852.56,15.58,1972,1737401913569736534
477.8,625.45,345.62,853.33,852.56,15.58,1973,1737401913605387611
477.8,625.45,345.62,853.33,852.56,15.58,1974,1737401913657496157
477.81,625.44,345.63,853.32,852.56,15.59,1975,1737401913742177123
477.81,625.44,345.61,853.32,852.56,15.59,1976,1737401913782477037
477.81,625.44,345.61,853.32,852.56,15.59,1977,1737401913821641919
477.81,625.44,345.62,853.32,852.56,15.58,1978,1737401913855929315
477.82,625.44,345.62,853.32,852.56,15.59,1979,1737401913900411384
477.82,625.43,345.61,853.32,852.56,15.59,1980,1737401913935962387
477.81,625.44,345.62,853.32,852.56,15.58,1981,1737401913977521983
477.81,625.43,345.61,853.32,852.55,15.58,1982,1737401914015013259
477.81,625.44,345.62,853.32,852.55,15.58,1983,1737401914056441004
477.81,625.44,345.61,853.32,852.56,15.59,1984,1737401914106414741
477.81,625.44,345.62,853.32,852.55,15.58,1985,1737401914147031914
477.81,625.44,345.61,853.33,852.55,15.58,1986,1737401914204853572
477.81,625.44,345.61,853.33,852.55,15.58,1987,1737401914241354462
