MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
477.81,625.45,345.62,853.33,852.56,15.58,1964,1737401913164352208
477.81,625.45,345.61,853.33,852.56,15.58,1965,1737401913201701187
477.81,625.44,345.62,853.33,852.56,15.59,1966,1737401913251819646
477.81,625.44,345.61,853.33,852.56,15.58,1967,1737401913291063712
477.81,625.45,345.61,853.33,852.56,15.58,1968,1737401913379200297
477.81,625.44,345.61,853.33,852.56,15.58,1969,1737401913417508829
477.81,625.44,345.61,853.33,852.56,15.58,1970,1737401913471609072
477.8,625.45,345.61,853.33,852.56,15.57,1971,1737401913511272711
477.8,625.45,345.62,853.33,852.56,15.58,1972,1737401913569970404
477.8,625.45,345.62,853.33,852.56,15.58,1973,1737401913605651147
477.8,625.45,345.62,853.33,852.56,15.58,1974,1737401913657745527
477.81,625.44,345.63,853.32,852.56,15.59,1975,1737401913742551084
477.81,625.44,345.61,853.32,852.56,15.59,1976,1737401913782773333
477.81,625.44,345.61,853.32,852.56,15.59,1977,1737401913821888196
477.81,625.44,345.62,853.32,852.56,15.58,1978,1737401913856200351
477.82,625.44,345.62,853.32,852.56,15.59,1979,1737401913900669494
477.82,625.43,345.61,853.32,852.56,15.59,1980,1737401913936308997
477.81,625.44,345.62,853.32,852.56,15.58,1981,1737401913977745686
477.81,625.43,345.61,853.32,852.55,15.58,1982,1737401914015713571
477.81,625.44,345.62,853.32,852.55,15.58,1983,1737401914056677929
477.81,625.44,345.61,853.32,852.56,15.59,1984,1737401914106704425
477.81,625.44,345.62,853.32,852.55,15.58,1985,1737401914147382413
477.81,625.44,345.61,853.33,852.55,15.58,1986,1737401914205102331
477.81,625.44,345.61,853.33,852.55,15.58,1987,1737401914241653387
477.81,625.44,345.62,853.33,852.56,15.58,1988,1737401914293187526
477.81,625.44,345.61,853.33,852.55,15.58,1989,1737401914336111933
477.81,625.44,345.62,853.33,852.56,15.58,1990,1737401914387837183
477.81,625.44,345.61,853.32,852.55,15.58,1991,1737401914429596742
477.81,625.44,345.61,853.33,852.55,15.59,1992,1737401914486241533
477.81,625.44,345.62,853.33,852.55,15.59,1993,1737401914520037078
477.81,625.44,345.61,853.33,852.55,15.57,1994,1737401914601865385
477.81,625.44,345.62,853.33,852.56,15.57,1995,1737401914649216649
477.81,625.44,345.61,853.33,852.55,15.57,1996,1737401914700750918
477.81,625.43,345.61,853.32,852.55,15.59,1997,1737401914759330092
477.81,625.44,345.61,853.33,852.55,15.58,1998,1737401914805652896
477.81,625.44,345.62,853.33,852.56,15.59,1999,1737401914867569578
477.81,625.44,345.62,853.32,852.56,15.58,2000,1737401914917634241
477.81,625.44,345.61,853.32,852.56,15.58,2001,1737401914956175512
477.81,625.43,345.6,853.32,852.55,15.58,2002,1737401915007090858
477.81,625.44,345.61,853.32,852.55,15.58,2003,1737401915058771071
477.81,625.44,345.61,853.32,852.55,15.58,2004,1737401915103769916
477.81,625.43,345.61,853.32,852.55,15.59,2005,1737401915139309271
477.81,625.43,345.61,853.32,852.55,15.58,2006,1737401915177368489
477.81,625.44,345.61,853.32,852.56,15.58,2007,1737401915219869341
477.81,625.44,345.62,853.32,852.56,15.57,2008,1737401915296423869
477.81,625.44,345.61,853.32,852.55,15.57,2009,1737401915325770669
477.82,625.44,345.61,853.32,852.55,15.59,2010,1737401915360609083
477.81,625.43,345.61,853.32,852.55,15.59,2011,1737401915403538731
477.81,625.44,345.61,853.33,852.56,15.59,2012,1737401915436621669
477.81,625.44,345.61,853.32,852.55,15.58,2013,1737401915481899718
477.81,625.44,345.61,853.33,852.55,15.58,2014,1737401915535385057
477.81,625.44,345.61,853.33,852.55,15.59,2015,1737401915573974329
477.81,625.45,345.62,853.32,852.56,15.58,2016,1737401915623613346
477.81,625.44,345.62,853.32,852.56,15.58,2017,1737401915666822475
477.81,625.44,345.62,853.32,852.56,15.59,2018,1737401915725593039
477.81,625.44,345.61,853.32,852.56,15.58,2019,1737401915757673572
477.81,625.44,345.62,853.32,852.56,15.58,2020,1737401915798521894
477.81,625.44,345.61,853.32,852.56,15.58,2021,1737401915839382863
